Achillea ptarmica;Wilde bertram;16
Rosa rubiginosa;Egelantier;16
Helianthus annuus;Zonnebloem;16
Carex sylvatica;Boszegge;16
Campanula portenschlagiana;Dalmatiëklokje;16
Sedum album;Wit vetkruid;16
Amaranthus hybridus;Franse / Basterdamarant;16
Callitriche platycarpa;Gewoon sterrenkroos;16
Ribes uva-crispa;Kruisbes;16
Hypericum humifusum;Liggend hertshooi;15
Adoxa moschatellina;Muskuskruid;15
Potentilla sterilis;Aardbeiganzerik;15
Rumex maritimus;Goudzuring;15
Medicago arabica;Gevlekte rupsklaver;15
Primula elatior;Slanke sleutelbloem;15
Anthriscus caucalis;Fijne kervel;15
Viola tricolor;Driekleurig viooltje;15
Carex paniculata;Pluimzegge;15
Erysimum cheiranthoides;Gewone steenraket;15
Carex spicata;Gewone bermzegge;14
Carex pilulifera;Pilzegge;14
Vinca major;Grote maagdenpalm;14
Cotoneaster salicifolius;Wilgbladige cotoneaster;14
Rosa multiflora;Veelbloemige roos;14
Foeniculum vulgare;Venkel;14
Stellaria pallida;Duinvogelmuur;14
Hieracium laevigatum;Stijf havikskruid;14
Potamogeton crispus;Gekroesd fonteinkruid;14
Myosotis discolor;Veelkleurig vergeet-mij-nietje;14
Laburnum anagyroides;Goudenregen;14
Ficus carica;Vijgenboom;13
Thalictrum flavum;Poelruit;13
Ulmus glabra;Ruwe iep;13
Rubus armeniacus;Dijkviltbraam;13
Persicaria mitis;Zachte duizendknoop;13
Veronica officinalis;Mannetjesereprijs;13
Polypogon viridis;Kransgras;13
Campanula persicifolia;Prachtklokje;13
Paulownia tomentosa;Anna Paulownaboom;13
Potentilla anglica;Kruipganzerik;13
Potentilla erecta;Tormentil;13
Chenopodium glaucum;Zeegroene ganzenvoet;13
Rapistrum rugosum;Bolletjesraket;13
Fallopia baldschuanica;Chinese bruidssluier;13
Carex vesicaria;Blaaszegge;13
Centranthus ruber;Spoorbloem;13
Campanula rotundifolia;Grasklokje;13
Anchusa arvensis;Kromhals;13
Allium ursinum;Daslook;13
Armoracia rusticana;Mierikswortel;12
Rumex palustris;Moeraszuring;12
Cotoneaster dielsianus;;12
Colutea arborescens;Europese blazenstruik;12
Puccinellia distans;Stomp / Bleek kweldergras;12
Galanthus nivalis;Gewoon sneeuwklokje;12
Veronica anagallis-aquatica;Blauwe waterereprijs;12
Antirrhinum majus;Grote leeuwenbek;12
Ceratophyllum demersum;Grof hoornblad;12
Cerastium arvense;Akkerhoornbloem;12
Guizotia abyssinica;Gingellikruid;12
Avena fatua;Oot;11
Senecio sylvaticus;Boskruiskruid;11
Nymphaea alba;Witte waterlelie;11
Potentilla recta;Rechte ganzerik;11
Hydrocotyle vulgaris;Gewone waternavel;11
Vaccinium myrtillus;Blauwe bosbes;11
Filago minima;Dwergviltkruid;11
Isolepis setacea;Borstelbies;11
Juncus compressus;Platte rus;11
Conium maculatum;Gevlekte scheerling;11
Populus balsamifera;Ontariopopulier;11
Galeopsis bifida;Gespleten hennepnetel;11
Corynephorus canescens;Buntgras;11
Milium effusum;Bosgierstgras;11
Polycarpon tetraphyllum;Kransmuur;11
Festuca pratensis;Beemdlangbloem;10
Luzula pilosa;Ruige veldbies;10
Barbarea stricta;Stijf barbarakruid;10
Lathyrus sylvestris;Boslathyrus;10
Tripleurospermum maritimum;Reukeloze kamille;10
Lemna trisulca;Puntkroos;10
Salix aurita;Geoorde wilg;10
Hottonia palustris;Waterviolier;10
Fagopyrum esculentum;Boekweit;10
Cerastium tomentosum;Viltige hoornbloem;10
Glyceria declinata;Getand vlotgras;10
Triticum aestivum;Tarwe;10
Crepis biennis;Groot streepzaad;10
Juncus bulbosus;Knolrus;10
Nicandra physalodes;Zegekruid;10
Maianthemum bifolium;Dalkruid;10
Aira caryophyllea;Zilverhaver;10
Fumaria capreolata;Rankende duivenkervel;10
Salix triandra;Amandelwilg;10
Abutilon theophrasti;Fluweelblad;9
Aucuba japonica;;9
Borago officinalis;Bernagie;9
Calendula officinalis;Goudsbloem;9
Cannabis sativa;Hennep;9
Chenopodium berlandieri;Texaanse ganzenvoet;9
Cyrtomium fortunei;Smalle ijzervaren;9
Descurainia sophia;Sofiekruid;9
Echinochloa muricata;Stekelige hanenpoot;9
Equisetum telmateia;Reuzenpaardenstaart;9
Galium uliginosum;Ruw walstro;9
Glebionis segetum;Gele ganzenbloem;9
Glyceria notata;Stomp vlotgras;9
Hieracium murorum;Muurhavikskruid;9
Lepidium densiflorum;Dichtbloemige kruidkers;9
Oxalis debilis;;9
Parietaria officinalis;Groot glaskruid;9
Pentaglottis sempervirens;Overblijvende ossentong;9
Phytolacca acinosa;Oosterse / Westerse karmozijnbes;9
Poa palustris;Moerasbeemdgras;9
Potamogeton natans;Drijvend fonteinkruid;9
Spirodela polyrhiza;Veelwortelig kroos;9
Verbena bonariensis;Stijf ijzerhard;9
Myriophyllum spicatum;Aarvederkruid;8
Soleirolia soleirolii;Slaapkamergeluk;8
Parthenocissus tricuspidata;Oosterse wingerd;8
Campanula poscharskyana;Kruipklokje;8
Melilotus altissimus;Goudgele honingklaver;8
Butomus umbellatus;Zwanenbloem;8
Pimpinella saxifraga;Kleine bevernel;8
Carex flacca;Zeegroene zegge;8
Chamaecyparis lawsoniana;Californische cipres;8
Silene vulgaris;Blaassilene;8
Thymus pulegioides;Grote tijm;8
Asplenium adiantum-nigrum;Zwartsteel;8
Agrostis canina;Moerasstruisgras;8
Carex rostrata;Snavelzegge;8
Viburnum lantana;Wollige sneeuwbal;8
Erysimum cheiri;Muurbloem;8
Blechnum spicant;Dubbelloof;8
Eruca vesicaria;Zwaardherik;8
Avena sativa;Haver;8
Lepidium draba;Pijlkruidkers;8
Galium verum;Geel walstro;8
Potentilla intermedia;Middelste ganzerik;8
Osmunda regalis;Koningsvaren;8
Panicum capillare;Draadgierst;8
Tilia cordata;Winterlinde;8
Typha angustifolia;Kleine lisdodde;8
Ribes nigrum;Zwarte bes;8
Festuca gigantea;Reuzenzwenkgras;8
Cotoneaster bullatus;;8
Myriophyllum aquaticum;Parelvederkruid;8
Artemisia verlotiorum;Herfstalsem;7
Alopecurus aequalis;Rosse vossenstaart;7
Lythrum portula;Waterpostelein;7
Hippophae rhamnoides;Duindoorn;7
Malva alcea;Vijfdelig kaasjeskruid;7
Polypodium interjectum;Brede eikvaren;7
Arenaria leptoclados;Tengere zandmuur;7
Calamagrostis canescens;Hennegras;7
Poa bulbosa;Knolbeemdgras;7
Sagittaria sagittifolia;Pijlkruid;7
Buxus sempervirens;Buxus;7
Cruciata laevipes;Kruisbladwalstro;7
Geranium rotundifolium;Ronde ooievaarsbek;7
Carex nigra;Zwarte zegge;7
Lavandula angustifolia;;7
Cynodon dactylon;Handjesgras;7
Bolboschoenus maritimus;Heen;7
Knautia arvensis;Beemdkroon;7
Persicaria minor;Kleine duizendknoop;7
Carthamus tinctorius;Saffloer;7
Sinapis alba;Witte mosterd;7
Sisymbrium orientale;Oosterse raket;7
Bidens cernua;Knikkend tandzaad;7
Berula erecta;Kleine watereppe;7
Bassia scoparia;Studentenkruid;7
Spergularia salina;Zilte schijnspurrie;7
Odontites vernus;Rode / Akkerogentroost;7
Anchusa officinalis;Gewone ossentong;7
Verbascum densiflorum;Stalkaars;7
Lobelia erinus;;7
Nardus stricta;Borstelgras;7
Alchemilla mollis;Fraaie vrouwenmantel;7
Festuca ovina;Ruig / Zinkschapengras;7
Prunus domestica;Pruim;7
Ludwigia grandiflora;Waterteunisbloem;7
Aquilegia vulgaris;Wilde akelei;7
Salix repens;Kruipwilg;7
Mentha suaveolens;Witte munt;7
Euphorbia esula;Heksenmelk;7
Mentha spicata;Aarmunt;7
Clinopodium vulgare;Borstelkrans;6
Sanguisorba minor;Kleine pimpernel / Moespimpernel;6
Arabidopsis arenosa;Rozetsteenkers;6
Polygala vulgaris;Gewone vleugeltjesbloem;6
Spergula morisonii;Heidespurrie;6
Tradescantia fluminensis;Vaderplant;6
Herniaria hirsuta;Behaard breukkruid;6
Trifolium micranthum;Draadklaver;6
Azolla filiculoides;Grote kroosvaren;6
Adiantum raddianum;Fijn venushaar;6
Schoenoplectus lacustris;Mattenbies;6
Stellaria palustris;Zeegroene muur;6
Sutera cordata;Tapijtbloem;6
Tragopogon dubius;Bleke morgenster;6
Viburnum rhytidophyllum;;6
Melampyrum pratense;Hengel;6
Helianthus tuberosus;Aardpeer;6
Callitriche obtusangula;Stomphoekig sterrenkroos;6
Lysimachia punctata;Puntwederik;6
Cotoneaster franchetii;;6
Lathraea clandestina;Paarse schubwortel;6
Neottia ovata;Grote keverorchis;6
Nasturtium microphyllum;Slanke waterkers;6
Cotoneaster hjelmqvistii;Dwergmispel (hjelmqvistii);6
Agrostis vinealis;Zandstruisgras;6
Trifolium scabrum;Ruwe klaver;6
Phleum arenarium;Zanddoddegras;6
Mentha arvensis;Akkermunt;6
Physalis peruviana;Goudbes;6
Mespilus germanica;Mispel;6
Anthoxanthum aristatum;Slofhak;6
Bromus secalinus;Dreps;6
Melilotus indicus;Kleine honingklaver;6
Danthonia decumbens;Tandjesgras;6
Malus sylvestris;Appel;6
Raphanus sativus;Radijs;6
Rosa dumalis;Kale struweelroos;6
Pyracantha coccinea;Vuurdoorn;6
Schoenoplectus tabernaemontani;Ruwe bies;6
Lycium barbarum;Boksdoorn;6
Beta vulgaris;Biet s.l.;6
Amaranthus albus;Witte amarant;6
